quarter,phrase,y_true,p_oos,kalshi_p,edge
202402,AI,1,0.875,0.99,-0.11499999999999999
202403,AI,1,0.875,0.99,-0.11499999999999999
202404,AI,1,0.875,0.99,-0.11499999999999999
202501,AI,1,0.875,0.99,-0.11499999999999999
202502,AI,1,0.875,0.99,-0.11499999999999999
202504,AI,1,0.875,0.99,-0.11499999999999999
202402,Activision,1,0.9638130790956753,0.7,0.2638130790956753
202403,Activision,1,0.9285491402172872,0.7,0.22854914021728723
202404,Activision,1,0.8693255317860333,0.7,0.16932553178603338
202501,Activision,1,0.7639660408113046,0.7,0.06396604081130464
202502,Activision,1,0.5160062078091429,0.7,-0.1839937921908571
202504,Activision,0,0.8571428571428571,0.7,0.15714285714285714
202402,Azure,1,0.875,0.99,-0.11499999999999999
202403,Azure,1,0.875,0.99,-0.11499999999999999
202404,Azure,1,0.875,0.99,-0.11499999999999999
202501,Azure,1,0.875,0.99,-0.11499999999999999
202502,Azure,1,0.875,0.99,-0.11499999999999999
202504,Azure,1,0.875,0.99,-0.11499999999999999
202402,CapEx,0,0.8571428571428571,0.91,-0.052857142857142936
202403,CapEx,1,0.449010800955276,0.91,-0.460989199044724
202404,CapEx,1,0.7971161231239532,0.91,-0.11288387687604684
202501,CapEx,1,0.8884981787679531,0.91,-0.021501821232046914
202502,CapEx,1,0.9362279775204496,0.91,0.026227977520449586
202504,CapEx,1,0.9661070604762328,0.91,0.05610706047623282
202402,Cloud,1,0.875,0.99,-0.11499999999999999
202403,Cloud,1,0.875,0.99,-0.11499999999999999
202404,Cloud,1,0.875,0.99,-0.11499999999999999
202501,Cloud,1,0.875,0.99,-0.11499999999999999
202502,Cloud,1,0.875,0.99,-0.11499999999999999
202504,Cloud,1,0.875,0.99,-0.11499999999999999
202402,Copilot,1,0.875,0.99,-0.11499999999999999
202403,Copilot,1,0.875,0.99,-0.11499999999999999
202404,Copilot,1,0.875,0.99,-0.11499999999999999
202501,Copilot,1,0.875,0.99,-0.11499999999999999
202502,Copilot,1,0.875,0.99,-0.11499999999999999
202504,Copilot,1,0.875,0.99,-0.11499999999999999
202402,Cybersecurity,1,0.267467944586122,0.4,-0.13253205541387802
202403,Cybersecurity,1,0.19143423412063915,0.4,-0.20856576587936088
202404,Cybersecurity,0,0.5005624396283076,0.4,0.10056243962830758
202501,Cybersecurity,0,0.6730788418809831,0.4,0.2730788418809831
202502,Cybersecurity,0,0.6782522298360465,0.4,0.27825222983604647
202504,Cybersecurity,0,0.6097176852593102,0.4,0.20971768525931023
202402,Gaming,1,0.875,,
202403,Gaming,1,0.875,,
202404,Gaming,1,0.875,,
202501,Gaming,1,0.875,,
202502,Gaming,1,0.875,,
202504,Gaming,1,0.875,,
202402,LinkedIn,1,0.875,0.98,-0.10499999999999998
202403,LinkedIn,1,0.875,0.98,-0.10499999999999998
202404,LinkedIn,1,0.875,0.98,-0.10499999999999998
202501,LinkedIn,1,0.875,0.98,-0.10499999999999998
202502,LinkedIn,1,0.875,0.98,-0.10499999999999998
202504,LinkedIn,1,0.875,0.98,-0.10499999999999998
202402,M365,0,0.7665249491690034,0.95,-0.18347505083099658
202403,M365,0,0.7665249491690034,0.95,-0.18347505083099658
202404,M365,1,0.6206916355174109,0.95,-0.32930836448258904
202501,M365,1,0.44575167101589175,0.95,-0.5042483289841082
202502,M365,1,0.4481142593010379,0.95,-0.5018857406989621
202504,M365,0,0.8372696915710117,0.95,-0.11273030842898824
202402,OpenAI,1,0.875,0.91,-0.03500000000000003
202403,OpenAI,1,0.875,0.91,-0.03500000000000003
202404,OpenAI,1,0.875,0.91,-0.03500000000000003
202501,OpenAI,1,0.875,0.91,-0.03500000000000003
202502,OpenAI,1,0.875,0.91,-0.03500000000000003
202504,OpenAI,1,0.875,0.91,-0.03500000000000003
202402,Phi,1,0.7844161712348736,0.5,0.2844161712348736
202403,Phi,0,0.5281908076083097,0.5,0.02819080760830972
202404,Phi,1,0.8001492801602539,0.5,0.3001492801602539
202501,Phi,0,0.3155712754000833,0.5,-0.18442872459991672
202502,Phi,1,0.39792026606413355,0.5,-0.10207973393586645
202504,Phi,0,0.36555833839246105,0.5,-0.13444166160753895
202402,Stargate,0,0.2100179426004824,0.25,-0.0399820573995176
202403,Stargate,0,0.2100179426004824,0.25,-0.0399820573995176
202404,Stargate,0,0.2100179426004824,0.25,-0.0399820573995176
202501,Stargate,0,0.2100179426004824,0.25,-0.0399820573995176
202502,Stargate,1,0.14285714285714285,0.25,-0.10714285714285715
202504,Stargate,0,0.20003645493757166,0.25,-0.04996354506242834
202402,Teams,1,0.875,0.98,-0.10499999999999998
202403,Teams,1,0.875,0.98,-0.10499999999999998
202404,Teams,1,0.875,0.98,-0.10499999999999998
202501,Teams,1,0.875,0.98,-0.10499999999999998
202502,Teams,1,0.875,0.98,-0.10499999999999998
202504,Teams,1,0.875,0.98,-0.10499999999999998
202402,Windows,1,0.875,0.99,-0.11499999999999999
202403,Windows,1,0.875,0.99,-0.11499999999999999
202404,Windows,1,0.875,0.99,-0.11499999999999999
202501,Windows,1,0.875,0.99,-0.11499999999999999
202502,Windows,1,0.875,0.99,-0.11499999999999999
202504,Windows,1,0.875,0.99,-0.11499999999999999
